label,svm_pred,paras_pred,true_substrate,exact_angle,rounded_angle_grp,grp_no
GA0070623_RS15270_AMP_binding_NZ_LT607752__3749427_3750627_____,UNKNOWN,tyr,UNKNOWN,GA0070623_RS15270_AMP_binding_NZ_LT607752__3749427_3750627_____,130,1
CIK06_RS09110_AMP_binding_NZ_CP022961__2040932_2042171_____,UNKNOWN,gln,UNKNOWN,CIK06_RS09110_AMP_binding_NZ_CP022961__2040932_2042171_____,130,1
C5B73_RS16020_AMP_binding_NZ_CP026746__3416928_3418119_____,UNKNOWN,arg,UNKNOWN,C5B73_RS16020_AMP_binding_NZ_CP026746__3416928_3418119_____,130,1
CU7111_RS01680_AMP_binding_NC_020230__408095_409196_____,UNKNOWN,arg,UNKNOWN,CU7111_RS01680_AMP_binding_NC_020230__408095_409196_____,130,1
CSPHI_RS01625_AMP_binding_NZ_CP009248__355299_356448_____,UNKNOWN,orn,UNKNOWN,CSPHI_RS01625_AMP_binding_NZ_CP009248__355299_356448_____,130,1
GA0070610_RS12330_AMP_binding_NZ_LT607733__2803195_2804404_____,UNKNOWN,arg,UNKNOWN,GA0070610_RS12330_AMP_binding_NZ_LT607733__2803195_2804404_____,150,2
GA0070610_RS09960_AMP_binding_NZ_LT607733__2234775_2235999_____,UNKNOWN,gln,UNKNOWN,GA0070610_RS09960_AMP_binding_NZ_LT607733__2234775_2235999_____,150,2
SLNWT_RS32350_AMP_binding_NZ_CP010519__8017798_8019025_____,arg,arg,UNKNOWN,SLNWT_RS32350_AMP_binding_NZ_CP010519__8017798_8019025_____,160,3
B6264_RS22955_AMP_binding_NZ_CP020567__5165480_5166587_____,UNKNOWN,tyr,UNKNOWN,B6264_RS22955_AMP_binding_NZ_CP020567__5165480_5166587_____,190,4
ALPR1_RS11580_AMP_binding_NZ_CM001023__2751988_2753185_____,UNKNOWN,tyr,UNKNOWN,ALPR1_RS11580_AMP_binding_NZ_CM001023__2751988_2753185_____,190,4
WPG_RS01910_AMP_binding_NZ_AP014583__407279_408464_____,UNKNOWN,tyr,UNKNOWN,WPG_RS01910_AMP_binding_NZ_AP014583__407279_408464_____,190,4
MEALZ_RS07440_AMP_binding_NC_016112__1733256_1734486_____,UNKNOWN,tyr,UNKNOWN,MEALZ_RS07440_AMP_binding_NC_016112__1733256_1734486_____,190,4
CEK71_RS01140_AMP_binding_NZ_CP022129__253386_254595_____,UNKNOWN,tyr,UNKNOWN,CEK71_RS01140_AMP_binding_NZ_CP022129__253386_254595_____,190,4
CEK71_RS20790_AMP_binding_NZ_CP022129__4614933_4616133_____,UNKNOWN,tyr,UNKNOWN,CEK71_RS20790_AMP_binding_NZ_CP022129__4614933_4616133_____,190,4
CEK71_RS17840_AMP_binding_NZ_CP022129__3964013_3965210_____,UNKNOWN,tyr,UNKNOWN,CEK71_RS17840_AMP_binding_NZ_CP022129__3964013_3965210_____,190,4
B1812_RS21440_AMP_binding_NZ_CP019949__3837_5034_____,UNKNOWN,tyr,UNKNOWN,B1812_RS21440_AMP_binding_NZ_CP019949__3837_5034_____,190,4
METME_RS17645_AMP_binding_NC_015572__3889425_3890628_____,UNKNOWN,tyr,UNKNOWN,METME_RS17645_AMP_binding_NC_015572__3889425_3890628_____,190,4
BLU65_RS24245_AMP_binding_NZ_LT629746__5373115_5374309_____,UNKNOWN,tyr,UNKNOWN,BLU65_RS24245_AMP_binding_NZ_LT629746__5373115_5374309_____,190,4
CQW49_RS17720_AMP_binding_NZ_CP023737__3727196_3728390_____,UNKNOWN,tyr,UNKNOWN,CQW49_RS17720_AMP_binding_NZ_CP023737__3727196_3728390_____,190,4
CXQ80_RS08810_AMP_binding_NZ_CP025262__1937879_1939079_____,UNKNOWN,tyr,UNKNOWN,CXQ80_RS08810_AMP_binding_NZ_CP025262__1937879_1939079_____,190,4
IEC33019_RS06715_AMP_binding_NZ_CP016634__1403700_1404897_____,UNKNOWN,tyr,UNKNOWN,IEC33019_RS06715_AMP_binding_NZ_CP016634__1403700_1404897_____,190,4
AAW51_RS13840_AMP_binding_NZ_CP011371__3207711_3208887_____,UNKNOWN,tyr,UNKNOWN,AAW51_RS13840_AMP_binding_NZ_CP011371__3207711_3208887_____,190,4
A0U95_RS04315_AMP_binding_NZ_CP014693__989590_990772_____,UNKNOWN,tyr,UNKNOWN,A0U95_RS04315_AMP_binding_NZ_CP014693__989590_990772_____,190,4
AVA_RS27930_AMP_binding_NC_007412__4291_5500_____,UNKNOWN,tyr,UNKNOWN,AVA_RS27930_AMP_binding_NC_007412__4291_5500_____,190,4
MFUL124B02_RS23295_AMP_binding_NZ_CP006003__5930310_5931513_____,UNKNOWN,tyr,UNKNOWN,MFUL124B02_RS23295_AMP_binding_NZ_CP006003__5930310_5931513_____,190,4
AMIR_RS18360_AMP_binding_NC_013093__4327128_4328319_____,UNKNOWN,tyr,UNKNOWN,AMIR_RS18360_AMP_binding_NC_013093__4327128_4328319_____,190,4
PPIS_RS14825_AMP_binding_NZ_CP011924__3228622_3229867_____,UNKNOWN,tyr,UNKNOWN,PPIS_RS14825_AMP_binding_NZ_CP011924__3228622_3229867_____,190,4
PLU_RS17515_AMP_binding_NC_005126__4142382_4143582_____,UNKNOWN,tyr,UNKNOWN,PLU_RS17515_AMP_binding_NC_005126__4142382_4143582_____,190,4
A361_RS04060_AMP_binding_NZ_CP015506__759547_760732_____,UNKNOWN,tyr,UNKNOWN,A361_RS04060_AMP_binding_NZ_CP015506__759547_760732_____,190,4
AFB00_RS06465_AMP_binding_NZ_CP013854__1353563_1354772_____,UNKNOWN,gly,UNKNOWN,AFB00_RS06465_AMP_binding_NZ_CP013854__1353563_1354772_____,190,4
SBI_RS29735_AMP_binding_NC_016582__7350716_7351943_____,UNKNOWN,tyr,UNKNOWN,SBI_RS29735_AMP_binding_NC_016582__7350716_7351943_____,190,4
SACMADRAFT_RS20780_AMP_binding_NZ_CM001439__4389191_4390388_____,UNKNOWN,tyr,UNKNOWN,SACMADRAFT_RS20780_AMP_binding_NZ_CM001439__4389191_4390388_____,190,4
UM93_RS15320_AMP_binding_NZ_CP011005__3240827_3241997_____,UNKNOWN,tyr,UNKNOWN,UM93_RS15320_AMP_binding_NZ_CP011005__3240827_3241997_____,190,4
NI25_RS03880_AMP_binding_NZ_CP009754__857604_858810_____,UNKNOWN,tyr,UNKNOWN,NI25_RS03880_AMP_binding_NZ_CP009754__857604_858810_____,190,4
B1781_RS12935_AMP_binding_NZ_CP019936__2709018_2710239_____,UNKNOWN,tyr,UNKNOWN,B1781_RS12935_AMP_binding_NZ_CP019936__2709018_2710239_____,190,4
SCE1572_RS20375_AMP_binding_NC_021658__5619882_5621073_____,UNKNOWN,tyr,UNKNOWN,SCE1572_RS20375_AMP_binding_NC_021658__5619882_5621073_____,190,4
A9R05_RS25985_AMP_binding_NZ_CP016001__293164_294364_____,UNKNOWN,tyr,UNKNOWN,A9R05_RS25985_AMP_binding_NZ_CP016001__293164_294364_____,190,4
LEN_RS18875_AMP_binding_NZ_AP014940__4715827_4717060_____,UNKNOWN,tyr,UNKNOWN,LEN_RS18875_AMP_binding_NZ_AP014940__4715827_4717060_____,190,4
ACZ75_RS03705_AMP_binding_NZ_CP012201__898875_900108_____,UNKNOWN,tyr,UNKNOWN,ACZ75_RS03705_AMP_binding_NZ_CP012201__898875_900108_____,190,4
AO356_RS28290_AMP_binding_NZ_CP012831__6547315_6548536_____,UNKNOWN,tyr,UNKNOWN,AO356_RS28290_AMP_binding_NZ_CP012831__6547315_6548536_____,190,4
CVS35_RS07745_AMP_binding_NZ_CP024956__1701849_1703067_____,UNKNOWN,tyr,UNKNOWN,CVS35_RS07745_AMP_binding_NZ_CP024956__1701849_1703067_____,190,4
BMU11_RS00120_AMP_binding_NZ_CP017938__31130_32345_____,UNKNOWN,gly,UNKNOWN,BMU11_RS00120_AMP_binding_NZ_CP017938__31130_32345_____,190,4
GJA_RS00815_AMP_binding_NZ_HG322949__223485_224694_____,UNKNOWN,gly,UNKNOWN,GJA_RS00815_AMP_binding_NZ_HG322949__223485_224694_____,190,4
CXB49_RS07990_AMP_binding_NZ_CP025429__1721640_1722852_____,UNKNOWN,gly,UNKNOWN,CXB49_RS07990_AMP_binding_NZ_CP025429__1721640_1722852_____,190,4
B7P44_RS18390_AMP_binding_NZ_CP020738__161627_162851_____,UNKNOWN,tyr,UNKNOWN,B7P44_RS18390_AMP_binding_NZ_CP020738__161627_162851_____,190,4
B9A52_RS00500_AMP_binding_NZ_LT838813__114139_115327_____,UNKNOWN,tyr,UNKNOWN,B9A52_RS00500_AMP_binding_NZ_LT838813__114139_115327_____,190,4
ABD05_RS14920_AMP_binding_NZ_CP011503__3276279_3277482_____,lys,lys,UNKNOWN,ABD05_RS14920_AMP_binding_NZ_CP011503__3276279_3277482_____,220,5
GLO7428_RS24605_AMP_binding_NC_019746__193121_194381_____,UNKNOWN,arg,UNKNOWN,GLO7428_RS24605_AMP_binding_NC_019746__193121_194381_____,220,5
SOCE26_RS35130_AMP_binding_NZ_CP012673__9730775_9731996_____,arg,arg,UNKNOWN,SOCE26_RS35130_AMP_binding_NZ_CP012673__9730775_9731996_____,220,5
SCE1572_RS25990_AMP_binding_NC_021658__7188276_7189494_____,arg,lys,UNKNOWN,SCE1572_RS25990_AMP_binding_NC_021658__7188276_7189494_____,220,5
DB32_RS32250_AMP_binding_NZ_CP011125__7649129_7650320_____,arg,arg,UNKNOWN,DB32_RS32250_AMP_binding_NZ_CP011125__7649129_7650320_____,220,5
AA314_RS19950_AMP_binding_NZ_CP011509__5039538_5040771_____,UNKNOWN,arg,UNKNOWN,AA314_RS19950_AMP_binding_NZ_CP011509__5039538_5040771_____,220,5
F822_RS08945_AMP_binding_NZ_CP012371__1967261_1968608_____,arg,arg,UNKNOWN,F822_RS08945_AMP_binding_NZ_CP012371__1967261_1968608_____,220,5
SCAT_RS00845_AMP_binding_NC_016113__199358_200540_____,arg,arg,UNKNOWN,SCAT_RS00845_AMP_binding_NC_016113__199358_200540_____,220,5
AT705_RS10880_AMP_binding_NZ_CP013611__2465352_2466528_____,arg,arg,UNKNOWN,AT705_RS10880_AMP_binding_NZ_CP013611__2465352_2466528_____,220,5
PPIS_RS15755_AMP_binding_NZ_CP011924__3450813_3451989_____,arg,arg,UNKNOWN,PPIS_RS15755_AMP_binding_NZ_CP011924__3450813_3451989_____,220,5
S4054249_RS19835_AMP_binding_NZ_CP015411__4645963_4647133_____,arg,arg,UNKNOWN,S4054249_RS19835_AMP_binding_NZ_CP015411__4645963_4647133_____,220,5
MMWYL1_RS13180_AMP_binding_NC_009654__2904728_2905970_____,arg,arg,UNKNOWN,MMWYL1_RS13180_AMP_binding_NC_009654__2904728_2905970_____,220,5
A9255_RS19695_AMP_binding_NZ_CP016176__4318696_4319959_____,UNKNOWN,arg,UNKNOWN,A9255_RS19695_AMP_binding_NZ_CP016176__4318696_4319959_____,220,5
BS333_RS17940_AMP_binding_NZ_CP018617__935678_936917_____,arg,arg,UNKNOWN,BS333_RS17940_AMP_binding_NZ_CP018617__935678_936917_____,230,6
DPA2511_RS08625_AMP_binding_NZ_CM001857__1965913_1967149_____,arg,arg,UNKNOWN,DPA2511_RS08625_AMP_binding_NZ_CM001857__1965913_1967149_____,230,6
MSR1_RS07770_AMP_binding_NZ_CP027526__1627936_1629133_____,arg,arg,UNKNOWN,MSR1_RS07770_AMP_binding_NZ_CP027526__1627936_1629133_____,230,6
A4E84_RS04255_AMP_binding_NZ_CP015098__1002539_1003763_____,arg,orn,UNKNOWN,A4E84_RS04255_AMP_binding_NZ_CP015098__1002539_1003763_____,230,6
B6264_RS02315_AMP_binding_NZ_CP020567__525972_527217_____,arg,arg,UNKNOWN,B6264_RS02315_AMP_binding_NZ_CP020567__525972_527217_____,230,6
BBN63_RS00295_AMP_binding_NZ_CP018047__61789_63004_____,arg,arg,UNKNOWN,BBN63_RS00295_AMP_binding_NZ_CP018047__61789_63004_____,230,6
ANACY_RS11915_AMP_binding_NC_019771__2723512_2724805_____,arg,arg,UNKNOWN,ANACY_RS11915_AMP_binding_NC_019771__2723512_2724805_____,230,6
BJP34_RS13485_AMP_binding_NZ_CP017599__3595735_3596980_____,UNKNOWN,arg,UNKNOWN,BJP34_RS13485_AMP_binding_NZ_CP017599__3595735_3596980_____,230,6
HOCH_RS08490_AMP_binding_NC_013440__2408030_2409269_____,UNKNOWN,arg,UNKNOWN,HOCH_RS08490_AMP_binding_NC_013440__2408030_2409269_____,230,6
A176_RS12045_AMP_binding_NZ_CP012109__3047719_3048943_____,arg,arg,UNKNOWN,A176_RS12045_AMP_binding_NZ_CP012109__3047719_3048943_____,230,6
CA726_RS23980_AMP_binding_NZ_AP018222__5836641_5837868_____,arg,arg,UNKNOWN,CA726_RS23980_AMP_binding_NZ_AP018222__5836641_5837868_____,230,6
Cabys_RS06505_AMP_binding_NZ_CP018099__1674271_1675489_____,arg,arg,UNKNOWN,Cabys_RS06505_AMP_binding_NZ_CP018099__1674271_1675489_____,230,6
B1K54_RS05355_AMP_binding_NZ_CP019798__1176500_1177673_____,UNKNOWN,lys,UNKNOWN,B1K54_RS05355_AMP_binding_NZ_CP019798__1176500_1177673_____,270,7
TK78_RS29765_AMP_binding_NZ_CP010833__6712247_6713438_____,lys,lys,UNKNOWN,TK78_RS29765_AMP_binding_NZ_CP010833__6712247_6713438_____,270,7
ABAZ39_RS23840_AMP_binding_NZ_CP007795__291584_292769_____,UNKNOWN,arg,UNKNOWN,ABAZ39_RS23840_AMP_binding_NZ_CP007795__291584_292769_____,270,7
ROP_RS27390_AMP_binding_NC_012522__6030840_6031995_____,UNKNOWN,arg,UNKNOWN,ROP_RS27390_AMP_binding_NC_012522__6030840_6031995_____,290,8
SACMADRAFT_RS15375_AMP_binding_NZ_CM001439__3256268_3257144_____,UNKNOWN,trp,UNKNOWN,SACMADRAFT_RS15375_AMP_binding_NZ_CM001439__3256268_3257144_____,290,8
C7J90_RS03920_AMP_binding_NZ_CP027770__831376_832528_____,UNKNOWN,phe,UNKNOWN,C7J90_RS03920_AMP_binding_NZ_CP027770__831376_832528_____,300,9
AWC37_RS10920_AMP_binding_NZ_CP013922__2217850_2219005_____,UNKNOWN,phe,UNKNOWN,AWC37_RS10920_AMP_binding_NZ_CP013922__2217850_2219005_____,300,9
BLT74_RS13605_AMP_binding_NZ_LT629774__3104144_3105296_____,arg,arg,UNKNOWN,BLT74_RS13605_AMP_binding_NZ_LT629774__3104144_3105296_____,310,10
D770_RS00005_AMP_binding_NZ_CP004371__1695_2883_____,arg,asn,UNKNOWN,D770_RS00005_AMP_binding_NZ_CP004371__1695_2883_____,310,10
PD630_RS12345_AMP_binding_NZ_CP003949__2754179_2755403_____,UNKNOWN,leu,UNKNOWN,PD630_RS12345_AMP_binding_NZ_CP003949__2754179_2755403_____,350,11